"Major","mean_earnings","median_earnings","two.five <- quantile(PERNP, 0.25)","seven.five <- quantile(PERNP, 0.75)","total_majors","number_employed","number_unemployed","unemployment_rate"
"FRENCH GERMAN LATIN AND OTHER COMMON FOREIGN LANGUAGE STUDIES",78098.7524150268,60000,34000,90000,13135,8385,243,2.9
"GENERAL AGRICULTURE",83963.6096698113,62000,37000,1e+05,2595,1696,31,1.8
"GENERAL BUSINESS",109705.854684434,80000,45000,129000,33787,24464,842,3.4
"GENERAL EDUCATION",60021.9377392541,54000,36000,75000,65310,36572,794,2.2
"GENERAL ENGINEERING",119498.471605744,1e+05,59000,145000,13183,9192,276,3
"GENERAL MEDICAL AND HEALTH SERVICES",81831.1456953642,65000,43000,95000,3715,3020,71,2.4
"GENERAL SOCIAL SCIENCES",77695.1644479248,60000,34125,93000,4366,2554,107,4.2
"GENETICS",116647.366554054,74500,42825,135000,708,592,11,1.9
"GEOGRAPHY",81359.090947192,68000,42000,1e+05,3324,2386,89,3.7
"GEOLOGICAL AND GEOPHYSICAL ENGINEERING",121477.380952381,95500,50750,140000,267,168,5,3
"GEOLOGY AND EARTH SCIENCE",104572.118824424,78000,48000,120000,5601,3947,113,2.9
"GEOSCIENCES",114118.329718004,90000,48000,140000,568,461,7,1.5
"HEALTH AND MEDICAL ADMINISTRATIVE SERVICES",89384.5740905058,72000,43000,105000,2886,2254,97,4.3
"HEALTH AND MEDICAL PREPARATORY PROGRAMS",171346.49735583,120000,60000,256000,5968,3971,77,1.9
"HISTORY",101515.198267055,68000,40000,115000,39253,26429,724,2.7
"HOSPITALITY MANAGEMENT",81343.3396072013,60000,36000,99750,1541,1222,53,4.3
"HUMAN RESOURCES AND PERSONNEL MANAGEMENT",90412.7604199809,70000,41300,105000,4145,3143,150,4.8
"HUMAN SERVICES AND COMMUNITY ORGANIZATION",59554.7342896175,50000,34000,70000,1856,1464,54,3.7
"HUMANITIES",75847.8419083255,55000,30000,90000,1597,1069,47,4.4
"INDUSTRIAL AND MANUFACTURING ENGINEERING",124661.975817167,1e+05,62000,145000,4991,3763,131,3.5
"INDUSTRIAL AND ORGANIZATIONAL PSYCHOLOGY",92005.0309477756,65000,36000,114000,800,517,34,6.6
"INDUSTRIAL PRODUCTION TECHNOLOGIES",96730.0615199035,83000,50000,120000,1223,829,38,4.6
"INFORMATION SCIENCES",97240.8745519713,87000,54500,120000,1640,1395,51,3.7
"INTERCULTURAL AND INTERNATIONAL STUDIES",84917.2947368421,60000,35000,95000,2171,1805,80,4.4
"INTERDISCIPLINARY SOCIAL SCIENCES",76639.7023498694,59000,35000,90000,2053,1532,68,4.4
"INTERNATIONAL BUSINESS",95022.86406545,75000,42000,115000,1949,1589,63,4
"INTERNATIONAL RELATIONS",109395.834199884,79000,46775,128000,4429,3462,126,3.6
"JOURNALISM",85207.0153762663,62000,40000,1e+05,7374,5528,195,3.5
"LANGUAGE AND DRAMA EDUCATION",56717.7372956909,52000,33000,71000,11808,6730,162,2.4
"LIBERAL ARTS",82520.0812137439,62000,38000,95000,12959,8964,304,3.4
"LIBRARY SCIENCE",56280.7341614907,50000,30000,70000,1761,805,17,2.1
"LINGUISTICS AND COMPARATIVE LANGUAGE AND LITERATURE",73107.2596110357,58000,31000,90000,3301,2211,105,4.7
"MANAGEMENT INFORMATION SYSTEMS AND STATISTICS",104058.415338216,89000,57000,123000,2696,2321,70,3
"MARKETING AND MARKETING RESEARCH",96621.0819168769,70000,42300,112000,11545,9119,352,3.9
"MASS MEDIA",70939.6133560187,57000,36000,87015,2888,2351,109,4.6
"MATERIALS ENGINEERING AND MATERIALS SCIENCE",105538.150803461,90000,52000,125000,1065,809,20,2.5
"MATERIALS SCIENCE",114494.675862069,1e+05,60000,140000,866,725,28,3.9
"MATHEMATICS",103125.146716263,78000,45000,121150,25514,16399,454,2.8
"MATHEMATICS AND COMPUTER SCIENCE",119072.567567568,104000,56750,142000,361,296,9,3
"MATHEMATICS TEACHER EDUCATION",61494.984863774,55000,40000,75000,4983,2973,47,1.6
"MECHANICAL ENGINEERING",124463.904980893,1e+05,70000,148000,20637,15439,409,2.6
"MECHANICAL ENGINEERING RELATED TECHNOLOGIES",96937.2039473684,85000,50750,116250,389,304,7,2.3
"MEDICAL ASSISTING SERVICES",86879.1748099891,70000,40000,105000,1167,921,26,2.8
"MEDICAL TECHNOLOGIES TECHNICIANS",101215.852941176,75000,50000,110000,2690,2040,50,2.5
"METALLURGICAL ENGINEERING",125790.8,108000,67500,150000,754,475,16,3.4
"MICROBIOLOGY",130769.381698974,90000,50000,150000,4568,3508,92,2.6
"MILITARY TECHNOLOGIES",109050.632911392,92000,45000,127000,211,79,3,3.8
"MINING AND MINERAL ENGINEERING",136359.324894515,106000,70000,160000,356,237,14,5.9
"MISCELLANEOUS AGRICULTURE",67059.0615942029,59500,36000,85000,418,276,6,2.2
"MISCELLANEOUS BIOLOGY",85418.5613207547,60000,38000,1e+05,1903,1484,40,2.7
"MISCELLANEOUS BUSINESS & MEDICAL ADMINISTRATION",99313.1866163996,72000,43000,120000,1369,1061,46,4.3
"MISCELLANEOUS EDUCATION",62216.0003933137,55000,34500,76000,10611,5085,146,2.9
"MISCELLANEOUS ENGINEERING",109753.846214511,90000,50000,130200,1713,1268,41,3.2
"MISCELLANEOUS ENGINEERING TECHNOLOGIES",98175.9004392387,85000,53500,116500,856,683,28,4.1
"MISCELLANEOUS FINE ARTS",64956.25,50000,24750,71500,115,80,3,3.8
"MISCELLANEOUS HEALTH MEDICAL PROFESSIONS",69648.6137472284,52000,30000,80000,3122,2255,77,3.4
"MISCELLANEOUS PSYCHOLOGY",97569.3525686137,66000,39000,108000,1879,1421,37,2.6
"MISCELLANEOUS SOCIAL SCIENCES",98840.9025110783,72000,45000,110000,881,677,19,2.8
"MOLECULAR BIOLOGY",132535.333176471,85000,50000,160000,2446,2125,60,2.8
"MULTI-DISCIPLINARY OR GENERAL SCIENCE",122389.525545538,80000,48000,146000,11048,7653,205,2.7
"MULTI/INTERDISCIPLINARY STUDIES",63373.4089490114,50200,38500,70000,1135,961,27,2.8
"MUSIC",60559.8723021583,47000,23000,75000,12317,8896,268,3
"NATURAL RESOURCES MANAGEMENT",79679.8843329253,65000,40000,95000,2102,1634,49,3
"NAVAL ARCHITECTURE AND MARINE ENGINEERING",122956.740947075,104000,60000,150000,602,359,9,2.5
"NEUROSCIENCE",112036.976905312,62000,45000,134500,990,866,27,3.1
"NUCLEAR ENGINEERING",131479.58276644,114000,76000,150000,569,441,7,1.6
"NUCLEAR, INDUSTRIAL RADIOLOGY, AND BIOLOGICAL TECHNOLOGIES",97715.0684931507,78000,52250,111500,175,146,2,1.4
"NURSING",92598.0331714606,80000,54000,110000,36201,26770,474,1.8
"NUTRITION SCIENCES",77416.4965208747,58000,35000,90000,2678,2012,44,2.2
"OCEANOGRAPHY",87959.8853868195,75000,44000,117000,454,349,9,2.6
"OPERATIONS LOGISTICS AND E-COMMERCE",98575.9490740741,86500,54000,120000,1059,864,31,3.6
"OTHER FOREIGN LANGUAGES",83160.5485232067,59000,29000,99000,2766,1896,63,3.3
"PETROLEUM ENGINEERING",173441.15339233,125000,64550,223500,468,339,11,3.2
"PHARMACOLOGY",125929.090909091,1e+05,55000,142000,442,385,4,1
"PHARMACY PHARMACEUTICAL SCIENCES AND ADMINISTRATION",122376.433943936,110000,65000,136750,9147,7206,132,1.8
"PHILOSOPHY AND RELIGIOUS STUDIES",86578.8693869946,56000,30000,1e+05,15437,10734,323,3
"PHYSICAL AND HEALTH EDUCATION TEACHING",68296.5756179305,60000,38600,81000,12001,7161,159,2.2
"PHYSICAL FITNESS PARKS RECREATION AND LEISURE",70237.310128388,57800,38000,81000,8121,7010,136,1.9
"PHYSICAL SCIENCES",101941.279069767,75000,39400,120000,406,258,3,1.2
"PHYSICS",116825.496045319,96000,52000,144000,13322,9356,286,3.1
"PHYSIOLOGY",120148.056171983,76000,48000,140000,3410,2884,56,1.9
"PLANT SCIENCE AND AGRONOMY",75438.7657370518,61000,35000,96000,1810,1255,35,2.8
"POLITICAL SCIENCE AND GOVERNMENT",120251.416216043,85000,49400,144000,40814,31253,984,3.1
"PRE-LAW AND LEGAL STUDIES",98134.3392141139,70000,40000,115000,1743,1247,51,4.1
"PSYCHOLOGY",78747.4104254157,59000,36000,90000,70965,53101,1570,3
"PUBLIC ADMINISTRATION",87469.7365339578,69000,40000,104000,2427,1708,88,5.2
"PUBLIC POLICY",124258.677184466,88000,53000,140750,977,824,36,4.4
"SCHOOL STUDENT COUNSELING",53527.8571428571,51000,35000,65000,1298,700,20,2.9
"SCIENCE AND COMPUTER TEACHER EDUCATION",65609.8991701245,57600,39000,78000,4309,2410,42,1.7
"SECONDARY TEACHER EDUCATION",61226.1795444395,55000,36000,75000,14240,6717,118,1.8
"SOCIAL PSYCHOLOGY",71084.0138408304,52000,30000,82000,437,289,14,4.8
"SOCIAL SCIENCE OR HISTORY TEACHER EDUCATION",65799.0452036794,55000,35000,78000,7026,3805,115,3
"SOCIAL WORK",57079.0423490051,50000,34225,70000,15317,11358,323,2.8
"SOCIOLOGY",74445.1722478168,58000,35000,89000,21879,14543,482,3.3
"SOIL SCIENCE",73902.4390243902,61500,39225,95000,242,164,7,4.3
"SPECIAL NEEDS EDUCATION",58374.330487371,55000,40000,72000,11987,8433,147,1.7
"STATISTICS AND DECISION SCIENCE",104731.546259843,80000,50000,120000,1374,1016,34,3.3
"STUDIO ARTS",55463.8253968254,45750,25000,70000,1848,1386,62,4.5
"TEACHER EDUCATION: MULTIPLE LEVELS",53899.3500897666,51000,38000,65000,4657,2785,54,1.9
"THEOLOGY AND RELIGIOUS VOCATIONS",51228.2861031714,40000,24000,62000,11008,7347,175,2.4
"TRANSPORTATION SCIENCES AND TECHNOLOGIES",104603.275862069,90000,55000,126750,1804,1218,41,3.4
"TREATMENT THERAPY PROFESSIONS",78308.7238274425,65000,42000,90000,8958,7441,114,1.5
"UNITED STATES HISTORY",101537.572555205,73000,36000,124750,1118,634,17,2.7
"VISUAL AND PERFORMING ARTS",58452.5150784077,48000,25000,73200,1052,829,37,4.5
"ZOOLOGY",150677.538232601,1e+05,54000,2e+05,6204,4368,84,1.9
